,response,touch_sensor,turn right,turn left,forward,backward,check
186,-10,0,0,0,0,1,0
187,-1,0,0,1,0,0,0
188,-1,0,0,1,0,0,0
189,-10,0,0,0,1,0,0
190,-1,1,0,0,0,0,1
191,-1,0,0,1,0,0,0
192,-1,0,0,1,0,0,0
193,-10,0,0,0,0,1,0
194,-10,0,0,0,0,1,0
195,-1,0,1,0,0,0,0
196,-1,0,0,1,0,0,0
197,-1,0,1,0,0,0,0
198,-1,0,1,0,0,0,0
199,-10,0,0,0,1,0,0
200,-1,0,0,1,0,0,0
201,2,0,0,0,1,0,0
202,-10,0,0,0,1,0,0
203,-1,1,0,0,0,0,1
204,-1,0,1,0,0,0,0
205,-1,0,0,1,0,0,0
206,-1,1,0,0,0,0,1
207,-1,0,0,0,0,1,0
208,2,0,0,0,1,0,0
209,-1,1,0,0,0,0,1
210,-10,0,0,0,1,0,0
211,-1,0,0,0,0,1,0
212,-1,0,1,0,0,0,0
213,-1,0,0,1,0,0,0
214,-1,0,1,0,0,0,0
215,-1,0,0,0,0,1,0
216,-1,0,1,0,0,0,0
217,-1,-1,0,0,0,0,1
218,-1,0,0,1,0,0,0
219,-1,0,0,1,0,0,0
220,-1,0,1,0,0,0,0
221,-1,-1,0,0,0,0,1
222,-1,-1,0,0,0,0,1
223,2,0,0,0,1,0,0
224,-1,0,1,0,0,0,0
225,-1,0,0,1,0,0,0
226,-10,0,0,0,1,0,0
227,-1,1,0,0,0,0,1
228,-10,0,0,0,1,0,0
229,-1,0,1,0,0,0,0
230,-1,0,1,0,0,0,0
231,-10,0,0,0,0,1,0
232,2,0,0,0,1,0,0
233,-1,0,0,1,0,0,0
234,-1,0,0,1,0,0,0
235,2,0,0,0,1,0,0
236,-10,0,0,0,1,0,0
237,-1,0,0,1,0,0,0
238,2,0,0,0,1,0,0
239,-1,1,0,0,0,0,1
240,-1,0,0,1,0,0,0
241,-1,0,0,1,0,0,0
242,2,0,0,0,1,0,0
243,-1,0,0,1,0,0,0
244,-1,0,0,1,0,0,0
245,-1,-1,0,0,0,0,1
246,-1,0,0,0,0,1,0
247,-1,0,0,1,0,0,0
248,-10,0,0,0,0,1,0
249,-1,-1,0,0,0,0,1
250,-1,0,1,0,0,0,0
251,-1,0,1,0,0,0,0
252,-10,0,0,0,1,0,0
253,-10,0,0,0,1,0,0
254,-1,0,1,0,0,0,0
255,2,0,0,0,1,0,0
256,-1,0,0,0,0,1,0
257,-1,0,0,0,0,1,0
258,-1,0,0,1,0,0,0
259,-1,1,0,0,0,0,1
260,-1,0,0,0,0,1,0
261,-1,-1,0,0,0,0,1
262,-1,0,1,0,0,0,0
263,-1,-1,0,0,0,0,1
264,-1,0,0,1,0,0,0
265,-1,0,1,0,0,0,0
266,-1,0,1,0,0,0,0
267,2,0,0,0,1,0,0
268,-1,0,0,1,0,0,0
269,2,0,0,0,1,0,0
270,-1,-1,0,0,0,0,1
271,-1,0,0,0,0,1,0
272,2,0,0,0,1,0,0
273,-1,0,0,1,0,0,0
274,2,0,0,0,1,0,0
275,-1,0,0,1,0,0,0
276,-1,0,0,1,0,0,0
277,-1,0,1,0,0,0,0
278,-1,0,0,1,0,0,0
279,-1,-1,0,0,0,0,1
280,-1,0,0,0,0,1,0
281,-10,0,0,0,0,1,0
282,2,0,0,0,1,0,0
283,2,0,0,0,1,0,0
284,-1,0,1,0,0,0,0
285,2,0,0,0,1,0,0
286,-1,0,0,1,0,0,0
287,-1,-1,0,0,0,0,1
288,-1,-1,0,0,0,0,1
289,-1,0,0,1,0,0,0
290,-1,0,1,0,0,0,0
291,2,0,0,0,1,0,0
292,2,0,0,0,1,0,0
293,-1,0,1,0,0,0,0
294,-1,0,1,0,0,0,0
295,-1,0,0,0,0,1,0
296,2,0,0,0,1,0,0
297,-1,-1,0,0,0,0,1
298,-1,-1,0,0,0,0,1
299,-1,0,0,0,0,1,0
