,response,touch_sensor,turn right,turn left,forward,backward,check
188,-10,0,0,0,0,0,0
189,-1,0,0,1,0,0,0
190,-10,0,0,0,0,0,0
191,-1,-1,0,0,0,0,1
192,2,0,0,0,1,0,0
193,-1,-1,0,0,0,0,1
194,-1,-1,0,0,0,0,1
195,-1,0,1,0,0,0,0
196,2,0,0,0,1,0,0
197,2,0,0,0,1,0,0
198,-1,-1,0,0,0,0,1
199,-1,-1,0,0,0,0,1
200,2,0,0,0,0,0,0
201,-1,0,0,1,0,0,0
202,-1,0,0,1,0,0,0
203,2,0,0,0,0,0,0
204,2,0,0,0,0,0,0
205,-1,0,1,0,0,0,0
206,-1,0,1,0,0,0,0
207,-1,-1,0,0,0,0,1
208,2,0,0,0,0,0,0
209,-1,0,0,1,0,0,0
210,-1,-1,0,0,0,0,1
211,-1,0,0,1,0,0,0
212,2,0,0,0,1,0,0
213,-1,0,1,0,0,0,0
214,2,0,0,0,1,0,0
215,2,0,0,0,0,0,0
216,2,0,0,0,1,0,0
217,-1,-1,0,0,0,0,1
218,-1,0,1,0,0,0,0
219,-1,0,0,1,0,0,0
220,2,0,0,0,0,0,0
221,-1,-1,0,0,0,0,1
222,2,0,0,0,1,0,0
223,-1,-1,0,0,0,0,1
224,2,0,0,0,1,0,0
225,-1,0,0,1,0,0,0
226,2,0,0,0,0,0,0
227,2,0,0,0,1,0,0
228,-1,-1,0,0,0,0,1
229,2,0,0,0,0,0,0
230,-1,0,1,0,0,0,0
231,2,0,0,0,0,0,0
232,-1,0,1,0,0,0,0
233,-1,-1,0,0,0,0,1
234,2,0,0,0,0,0,0
235,-1,0,0,1,0,0,0
236,-1,0,0,1,0,0,0
237,2,0,0,0,1,0,0
238,-10,0,0,0,1,0,0
239,-1,1,0,0,0,0,1
240,-1,0,1,0,0,0,0
241,-1,0,1,0,0,0,0
242,2,0,0,0,1,0,0
243,-1,0,1,0,0,0,0
244,-1,-1,0,0,0,0,1
245,2,0,0,0,1,0,0
246,-1,0,0,1,0,0,0
247,2,0,0,0,0,0,0
248,2,0,0,0,1,0,0
249,-1,-1,0,0,0,0,1
250,2,0,0,0,0,0,0
251,-1,0,1,0,0,0,0
252,2,0,0,0,0,0,0
253,2,0,0,0,0,0,0
254,2,0,0,0,0,0,0
255,-1,0,1,0,0,0,0
256,2,0,0,0,1,0,0
257,-1,-1,0,0,0,0,1
258,-1,0,0,1,0,0,0
259,-1,1,0,0,0,0,1
260,-1,0,1,0,0,0,0
261,-1,0,1,0,0,0,0
262,2,0,0,0,1,0,0
263,-1,0,0,1,0,0,0
264,2,0,0,0,1,0,0
265,2,0,0,0,0,0,0
266,2,0,0,0,1,0,0
267,-1,-1,0,0,0,0,1
268,-1,0,1,0,0,0,0
269,-1,0,0,1,0,0,0
270,-1,-1,0,0,0,0,1
271,-1,-1,0,0,0,0,1
272,2,0,0,0,0,0,0
273,-1,-1,0,0,0,0,1
274,-1,0,1,0,0,0,0
275,-1,0,1,0,0,0,0
276,-1,-1,0,0,0,0,1
277,2,0,0,0,1,0,0
278,-1,0,0,1,0,0,0
279,-1,0,0,1,0,0,0
280,2,0,0,0,0,0,0
281,2,0,0,0,0,0,0
282,-1,-1,0,0,0,0,1
283,-1,0,0,1,0,0,0
284,2,0,0,0,1,0,0
285,-1,-1,0,0,0,0,1
286,-1,-1,0,0,0,0,1
287,2,0,0,0,0,0,0
288,-1,0,0,1,0,0,0
289,-1,-1,0,0,0,0,1
290,-1,0,1,0,0,0,0
291,-1,0,1,0,0,0,0
292,2,0,0,0,1,0,0
293,2,0,0,0,0,0,0
294,2,0,0,0,0,0,0
295,-1,0,1,0,0,0,0
296,2,0,0,0,0,0,0
297,-1,-1,0,0,0,0,1
298,-1,0,0,1,0,0,0
299,2,0,0,0,0,0,0
300,-10,0,0,0,0,0,0
301,-1,-1,0,0,0,0,1
302,-1,-1,0,0,0,0,1
303,-1,0,0,1,0,0,0
304,2,0,0,0,1,0,0
305,2,0,0,0,1,0,0
306,-1,-1,0,0,0,0,1
307,-1,-1,0,0,0,0,1
308,-1,0,1,0,0,0,0
309,-10,0,0,0,0,0,0
310,-10,0,0,0,0,0,0
311,-1,0,1,0,0,0,0
312,2,0,0,0,0,0,0
313,-1,0,1,0,0,0,0
314,-1,0,0,1,0,0,0
315,-1,0,0,1,0,0,0
316,-10,0,0,0,0,0,0
317,-1,0,1,0,0,0,0
318,-1,-1,0,0,0,0,1
319,-1,0,0,1,0,0,0
320,-1,0,1,0,0,0,0
321,-1,0,0,1,0,0,0
